years_before_2023,co2_ppmv,temp_anomaly,ch4_ppb
202,282.4770643020691,-0.526,767.5
203,282.75623905639657,-0.5886,762.0
204,283.0354138107241,-0.6307,759.5238095238095
205,283.31458856505157,-0.5666,757.047619047619
206,283.59376331937904,-0.5719,754.5714285714286
207,283.8729380737065,-0.6705,752.0952380952381
208,284.152112828034,-0.7419,749.6190476190476
209,284.43128758236145,-0.8611,747.1428571428571
210,284.3147350335074,-0.983,744.6666666666666
211,284.1981824846534,-0.8413,742.1904761904761
212,284.0816299357994,-0.544,739.7142857142857
213,283.9650773869454,-0.3591,737.2380952380952
214,283.84852483809135,-0.3303,734.7619047619048
215,283.7319722892373,-0.3803,732.2857142857143
216,283.61541974038335,-0.4237,729.8095238095239
217,283.4988671915293,-0.4216,727.3333333333334
218,283.3823146426753,-0.3982,724.8571428571429
219,283.26576209382125,-0.3491,722.3809523809524
220,283.1492095449672,-0.265,719.9047619047619
221,283.03265699611325,-0.3142,717.4285714285714
222,282.9161044472592,-0.42,714.952380952381
223,282.7995518984052,-0.3798,712.4761904761905
224,282.00118015227116,-0.3586,710.0
225,281.2028084061372,-0.3773,710.5151515151515
226,280.40443666000317,-0.3553,711.030303030303
227,282.3047106620081,-0.4648,711.5454545454545
228,281.61711795078935,-0.5988,712.060606060606
229,281.0068750232101,-0.5047,712.5757575757576
230,280.39663209563093,-0.3655,713.0909090909091
231,279.78638916805176,-0.3199,713.6060606060606
232,279.1761462404725,-0.3403,714.1212121212121
233,278.5659033128933,-0.3979,714.6363636363636
234,277.9556603853141,-0.4638,715.1515151515151
235,277.3454174577349,-0.4937,715.6666666666666
236,276.7351745301557,-0.4914,716.1818181818181
237,276.12493160257645,-0.4678,716.6969696969697
238,275.5146886749973,-0.4291,717.2121212121212
239,274.9044457474181,-0.4941,717.7272727272727
240,274.29420281983886,-0.7015,718.2424242424242
241,273.6839598922596,-0.8083,718.7575757575758
242,273.07371696468044,-0.6373,719.2727272727273
243,280.23629818436876,-0.4098,719.7878787878788
244,279.83957389997926,-0.2981,720.3030303030303
245,279.44284961558975,-0.3661,720.8181818181819
246,279.04612533120024,-0.4642,721.3333333333334
247,278.64940104681074,-0.3771,721.8484848484849
248,278.25267676242123,-0.3171,722.3636363636364
249,277.8559524780317,-0.3668,722.8787878787879
250,277.7099674330779,-0.406,723.3939393939394
251,277.56398238812403,-0.4237,723.9090909090909
252,277.4179973431702,-0.4144,724.4242424242424
253,277.27201229821634,-0.4112,724.939393939394
254,277.1260272532625,-0.3982,725.4545454545455
255,276.9800422083087,-0.3271,725.969696969697
256,276.8340571633548,-0.257,726.4848484848485
257,276.688072118401,-0.2779,727.0
258,276.54208707344714,-0.3446,725.2777777777778
259,276.3961020284933,-0.4131,723.5555555555555
260,277.15568662096365,-0.4204,721.8333333333334
261,277.2403180687514,-0.2961,720.1111111111111
262,277.3249495165391,-0.2036,718.3888888888889
263,277.40958096432684,-0.2641,716.6666666666666
264,277.49421241211456,-0.3729,714.9444444444445
265,277.5788438599023,-0.3925,713.2222222222222
266,277.66347530769,-0.4128,711.5
267,277.74810675547775,-0.4227,709.7777777777778
268,277.8327382032655,-0.4607,708.0555555555555
269,277.9173696510532,-0.6347,706.3333333333334
270,278.00200109884094,-0.789,704.6111111111111
271,276.4573287163011,-0.7023,702.8888888888889
272,277.02870130514765,-0.489,701.1666666666666
273,277.6000738939942,-0.3991,699.4444444444445
274,277.50118966265404,-0.4169,697.7222222222222
275,277.40230543131395,-0.3458,696.0
276,277.3034211999738,-0.22,693.4
277,277.20453696863365,-0.2945,690.8
278,277.1056527372935,-0.4739,688.2
279,277.00676850595335,-0.5241,685.6
280,276.90788427461325,-0.5401,683.0
281,276.8090000432731,-0.5876,682.9215686274509
282,276.9967428492683,-0.6121,682.843137254902
283,277.1844856552635,-0.6956,682.7647058823529
284,277.37222846125866,-0.7793,682.6862745098039
285,277.55997126725384,-0.7634,682.6078431372549
286,277.747714073249,-0.7001,682.5294117647059
287,277.9354568792442,-0.742,682.4509803921569
288,278.1231996852394,-0.8369,682.3725490196078
289,278.3109424912346,-0.7712,682.2941176470588
290,278.18117922197865,-0.6811,682.2156862745098
291,278.0514159527228,-0.626,682.1372549019608
292,277.92165268346685,-0.6149,682.0588235294117
293,277.7918894142109,-0.6731,681.9803921568628
294,277.662126144955,-0.637,681.9019607843137
295,277.5323628756991,-0.3908,681.8235294117648
296,277.4025996064432,-0.1946,681.7450980392157
297,277.27283633718724,-0.203,681.6666666666666
298,277.14307306793137,-0.3272,681.5882352941177
299,277.01330979867544,-0.4892,681.5098039215686
300,278.27011023020174,-0.634,681.4313725490196
301,278.23753668219257,-0.5937,681.3529411764706
302,278.20496313418334,-0.3917,681.2745098039215
303,278.1723895861742,-0.3233,681.1960784313726
304,278.139816038165,-0.4394,681.1176470588235
305,278.10724249015584,-0.561,681.0392156862745
306,278.0746689421467,-0.628,680.9607843137255
307,278.04209539413745,-0.6465,680.8823529411765
308,278.0095218461283,-0.6164,680.8039215686274
309,277.9769482981191,-0.5879,680.7254901960785
310,277.9443747501099,-0.5717,680.6470588235294
311,277.9118012021007,-0.555,680.5686274509804
312,277.87922765409155,-0.5631,680.4901960784314
313,277.8466541060824,-0.5928,680.4117647058823
314,277.8140805580732,-0.717,680.3333333333334
315,277.781507010064,-0.8809,680.2549019607843
316,277.7489334620548,-0.8172,680.1764705882352
317,277.71635991404565,-0.5664,680.0980392156863
318,277.68378636603643,-0.4983,680.0196078431372
319,277.65121281802726,-0.6282,679.9411764705883
320,277.6186392700181,-0.6751,679.8627450980392
321,277.5860657220089,-0.599,679.7843137254902
322,277.55349217399976,-0.5809,679.7058823529412
323,277.52091862599053,-0.6725,679.6274509803922
324,277.48834507798136,-0.7978,679.5490196078431
325,277.4557715299722,-0.8255,679.4705882352941
326,277.42319798196297,-0.7885,679.3921568627451
327,277.3906244339538,-0.7143,679.3137254901961
328,277.35805088594464,-0.6242,679.2352941176471
329,277.1513640635429,-0.6028,679.156862745098
330,276.9446772411413,-0.6187,679.0784313725491
331,276.73799041873957,-0.6354,679.0
332,276.5313035963379,-0.7315,678.9230769230769
333,276.3246167739362,-0.8371,678.8461538461538
334,276.3664981527682,-0.7609,678.7692307692307
335,276.4083795316002,-0.6303,678.6923076923077
336,276.4502609104322,-0.6889,678.6153846153846
337,276.49214228926417,-0.8401,678.5384615384615
338,276.53402366809615,-0.8584,678.4615384615385
339,276.57590504692814,-0.7288,678.3846153846154
340,276.61778642576013,-0.5438,678.3076923076923
341,276.6596678045921,-0.5432,678.2307692307693
342,276.7020291083621,-0.6847,678.1538461538462
343,276.7443904121321,-0.6931,678.0769230769231
344,276.7867517159021,-0.6483,678.0
345,276.8291130196721,-0.6588,677.9230769230769
346,276.87147432344204,-0.7017,677.8461538461538
347,276.91383562721205,-0.7422,677.7692307692307
348,276.95619693098206,-0.7116,677.6923076923077
349,276.99855823475207,-0.6102,677.6153846153846
350,277.040919538522,-0.5133,677.5384615384615
351,277.083280842292,-0.4403,677.4615384615385
352,277.12564214606203,-0.4855,677.3846153846154
353,277.168003449832,-0.6848,677.3076923076923
354,277.210364753602,-0.8474,677.2307692307693
355,277.252726057372,-0.8212,677.1538461538462
356,277.29508736114195,-0.6134,677.0769230769231
357,277.33744866491196,-0.531,677.0
358,277.37980996868197,-0.5974,676.9230769230769
359,277.4221712724519,-0.6009,676.8461538461538
360,277.4645325762219,-0.5803,676.7692307692307
361,277.50689387999194,-0.5432,676.6923076923077
362,277.5492551837619,-0.4906,676.6153846153846
363,277.5916164875319,-0.5064,676.5384615384615
364,277.6339777913019,-0.5474,676.4615384615385
365,277.67633909507185,-0.5505,676.3846153846154
366,277.71870039884186,-0.5733,676.3076923076923
367,277.76106170261187,-0.6997,676.2307692307693
368,277.8034230063819,-0.8111,676.1538461538462
369,277.8457843101518,-0.7855,676.0769230769231
370,277.88814561392184,-0.7249,676.0
371,277.93050691769184,-0.6203,675.4791666666666
372,277.9728682214618,-0.4599,674.9583333333334
373,278.0152295252318,-0.3823,674.4375
374,277.88242779776306,-0.3855,673.9166666666666
375,277.74962607029437,-0.4965,673.3958333333334
376,277.6168243428256,-0.6752,672.875
377,277.4840226153569,-0.7363,672.3541666666666
378,277.3512208878882,-0.7188,671.8333333333334
379,277.21841916041944,-0.7367,671.3125
380,277.0856174329507,-0.8368,670.7916666666666
381,276.95281570548195,-0.899,670.2708333333334
382,276.82001397801326,-0.707,669.75
383,276.6872122505445,-0.4433,669.2291666666666
384,276.4229895288628,-0.4252,668.7083333333334
385,276.15876680718105,-0.552,668.1875
386,275.8945440854994,-0.5546,667.6666666666666
387,275.63032136381764,-0.47,667.1458333333334
388,275.3660986421359,-0.4597,666.625
389,275.1018759204542,-0.5199,666.1041666666666
390,274.83765319877244,-0.6806,665.5833333333334
391,274.5734304770907,-0.8708,665.0625
392,274.30920775540903,-0.8509,664.5416666666666
393,274.0449850337273,-0.6717,664.0208333333334
394,273.78076231204557,-0.5449,663.5
395,273.64014484651835,-0.5273,662.9791666666666
396,273.49952738099114,-0.614,662.4583333333334
397,273.358909915464,-0.6297,661.9375
398,273.21829244993677,-0.54,661.4166666666666
399,273.07767498440955,-0.5801,660.8958333333334
400,272.93705751888234,-0.6325,660.375
401,272.7964400533551,-0.606,659.8541666666666
402,272.65582258782797,-0.5182,659.3333333333334
403,272.51520512230076,-0.4675,658.8125
404,272.37458765677354,-0.5192,658.2916666666666
405,272.2339701912463,-0.5182,657.7708333333334
406,272.09335272571917,-0.4177,657.25
407,271.95273526019196,-0.3755,656.7291666666666
408,271.81211779466474,-0.4764,656.2083333333334
409,271.67150032913753,-0.6367,655.6875
410,271.5308828636103,-0.7131,655.1666666666666
411,271.39026539808316,-0.6628,654.6458333333334
412,271.24964793255594,-0.5703,654.125
413,271.10903046702873,-0.5463,653.6041666666666
414,271.7686216964571,-0.6283,653.0833333333334
415,272.4282129258855,-0.7508,652.5625
416,273.08780415531385,-0.7644,652.0416666666666
417,273.7473953847423,-0.679,651.5208333333334
418,274.40698661417065,-0.6287,651.0
419,275.066577843599,-0.6403,651.8918918918919
420,275.39659963016845,-0.6431,652.7837837837837
421,275.7266214167379,-0.6506,653.6756756756756
422,276.0566432033074,-0.7795,654.5675675675676
423,276.3866649898768,-0.869,655.4594594594595
424,276.71668677644624,-0.7052,656.3513513513514
425,277.04670856301567,-0.5764,657.2432432432432
426,277.37673034958516,-0.6111,658.1351351351351
427,277.7067521361546,-0.6546,659.027027027027
428,278.036773922724,-0.6169,659.918918918919
429,278.36679570929346,-0.6266,660.8108108108108
430,278.69681749586294,-0.8034,661.7027027027027
431,279.0268392824324,-0.9175,662.5945945945946
432,279.3568610690018,-0.9369,663.4864864864865
433,280.23289465017143,-0.9617,664.3783783783783
434,281.10892823134105,-0.8283,665.2702702702703
435,281.20632151515815,-0.682,666.1621621621622
436,281.3037147989752,-0.6717,667.0540540540541
437,281.4011080827923,-0.7757,667.9459459459459
438,281.4985013666094,-0.8421,668.8378378378378
439,281.5958946504265,-0.7506,669.7297297297297
440,281.69328793424353,-0.625,670.6216216216217
441,281.7906812180606,-0.6211,671.5135135135135
442,281.8880745018777,-0.8629,672.4054054054054
443,281.9854677856948,-1.2292,673.2972972972973
444,282.08286106951186,-1.2634,674.1891891891892
445,282.18025435332896,-0.9934,675.081081081081
446,282.27764763714606,-0.837,675.972972972973
447,282.37504092096316,-0.8313,676.8648648648649
448,282.4724342047802,-0.7558,677.7567567567568
449,282.5698274885973,-0.6621,678.6486486486486
450,282.5169142009586,-0.6611,679.5405405405405
451,282.4640009133199,-0.7431,680.4324324324324
452,282.4110876256812,-0.7952,681.3243243243244
453,282.3581743380425,-0.676,682.2162162162163
454,282.30526105040383,-0.5217,683.1081081081081
455,282.2523477627651,-0.4272,684.0
456,282.1994344751264,-0.446,683.8571428571429
457,282.14652118748774,-0.5099,683.7142857142857
458,282.093607899849,-0.4476,683.5714285714286
459,282.04069461221036,-0.372,683.4285714285714
460,281.98778132457164,-0.3766,683.2857142857143
461,281.9348680369329,-0.3932,683.1428571428571
462,281.88195474929427,-0.4407,683.0
463,281.82904146165555,-0.5414,682.8571428571429
464,281.99910557223023,-0.6452,682.7142857142857
465,282.169169682805,-0.6445,682.5714285714286
466,282.33923379337966,-0.5108,682.4285714285714
467,282.50929790395435,-0.4581,682.2857142857143
468,282.67936201452903,-0.5063,682.1428571428571
469,282.8494261251038,-0.4572,682.0
470,283.01949023567846,-0.3917,681.8571428571429
471,283.18955434625315,-0.4457,681.7142857142857
472,283.3596184568279,-0.4879,681.5714285714286
473,283.5296825674026,-0.4757,681.4285714285714
474,283.5505929574543,-0.5665,681.2857142857143
475,283.57150334750594,-0.7488,681.1428571428571
476,283.59241373755765,-0.8608,681.0
477,283.6133241276093,-0.9179,680.8035714285714
478,283.634234517661,-0.9824,680.6071428571429
479,283.6551449077127,-0.9707,680.4107142857143
480,283.6760552977644,-0.9849,680.2142857142857
481,283.6969656878161,-1.0811,680.0178571428571
482,283.71787607786774,-0.9372,679.8214285714286
483,283.73878646791945,-0.5718,679.625
484,283.75969685797116,-0.4059,679.4285714285714
485,283.7806072480228,-0.4645,679.2321428571429
486,283.80151763807453,-0.4635,679.0357142857143
487,283.8224280281262,-0.4288,678.8392857142857
488,283.8433384181779,-0.4952,678.6428571428571
489,283.8642488082296,-0.6658,678.4464285714286
490,283.88515919828126,-0.7885,678.25
491,283.90606958833297,-0.8031,678.0535714285714
492,283.9269799783846,-0.829,677.8571428571429
493,283.94789036843633,-0.8888,677.6607142857143
494,283.9184935835511,-0.9372,677.4642857142857
495,283.88909679866583,-0.8562,677.2678571428571
496,283.85970001378064,-0.6688,677.0714285714286
497,283.8303032288954,-0.5868,676.875
498,283.80090644401014,-0.6435,676.6785714285714
499,283.77150965912494,-0.7927,676.4821428571429
500,283.7421128742397,-0.9655,676.2857142857143
501,283.71271608935444,-0.9353,676.0892857142857
502,283.6833193044692,-0.6838,675.8928571428571
503,283.65392251958394,-0.4178,675.6964285714286
504,283.62452573469875,-0.3674,675.5
505,283.5951289498135,-0.4406,675.3035714285714
506,283.56573216492825,-0.4672,675.1071428571429
507,283.53633538004306,-0.5075,674.9107142857143
508,283.5069385951578,-0.5732,674.7142857142857
509,283.47754181027256,-0.5857,674.5178571428571
510,283.4481450253873,-0.5957,674.3214285714286
511,283.41874824050205,-0.548,674.125
512,283.38935145561686,-0.4168,673.9285714285714
513,283.3599546707316,-0.3351,673.7321428571429
514,283.33055788584636,-0.3782,673.5357142857143
515,283.30116110096117,-0.4772,673.3392857142857
516,283.2717643160759,-0.5353,673.1428571428571
517,283.24236753119067,-0.5786,672.9464285714286
518,283.2129707463054,-0.5811,672.75
519,283.18357396142017,-0.5267,672.5535714285714
520,283.154177176535,-0.4584,672.3571428571429
521,283.1247803916497,-0.4478,672.1607142857143
522,283.036896776994,-0.5872,671.9642857142857
523,282.9490131623383,-0.6916,671.7678571428571
524,282.8611295476826,-0.5963,671.5714285714286
525,282.7732459330269,-0.6284,671.375
526,282.6853623183712,-0.7842,671.1785714285714
527,282.5974787037155,-0.7158,670.9821428571429
528,282.5095950890598,-0.4743,670.7857142857143
529,282.4217114744041,-0.3364,670.5892857142857
530,282.3338278597484,-0.4783,670.3928571428571
531,282.2459442450927,-0.577,670.1964285714286
532,282.158060630437,-0.3142,670.0
533,282.07017701578127,-0.029,668.6315789473684
534,281.98229340112556,-0.0167,667.2631578947369
535,281.89440978646985,-0.1167,665.8947368421053
536,281.80652617181414,-0.1231,664.5263157894736
537,281.71864255715843,-0.1138,663.1578947368421
538,281.6307589425028,-0.113,661.7894736842105
539,281.54287532784707,-0.2045,660.421052631579
540,281.45499171319136,-0.4452,659.0526315789474
541,281.36710809853565,-0.5676,657.6842105263158
542,281.27922448387994,-0.5241,656.3157894736842
543,281.19134086922423,-0.5673,654.9473684210526
544,281.1034572545685,-0.6042,653.578947368421
545,281.0155736399128,-0.4674,652.2105263157895
546,280.9276900252571,-0.4053,650.8421052631579
547,280.8398064106014,-0.5629,649.4736842105264
548,280.75192279594575,-0.7,648.1052631578947
549,280.66403918129004,-0.648,646.7368421052631
550,280.5761555666343,-0.5224,645.3684210526316
551,280.4882719519786,-0.429,644.0
552,280.4003883373229,-0.3434,644.4727272727273
553,280.3125047226672,-0.3168,644.9454545454546
554,280.40820850682627,-0.4767,645.4181818181818
555,280.5039122909853,-0.6138,645.8909090909091
556,280.59961607514435,-0.5597,646.3636363636364
557,280.6953198593034,-0.5835,646.8363636363637
558,280.7910236434625,-0.7112,647.3090909090909
559,280.8867274276215,-0.7088,647.7818181818182
560,280.9824312117806,-0.5915,648.2545454545455
561,281.07813499593965,-0.6112,648.7272727272727
562,281.17383878009866,-0.661,649.2
563,281.26954256425773,-0.5702,649.6727272727272
564,281.3652463484168,-0.482,650.1454545454545
565,281.4609501325758,-0.592,650.6181818181818
566,281.5566539167349,-0.8093,651.0909090909091
567,281.65235770089396,-0.8423,651.5636363636364
568,281.748061485053,-0.6787,652.0363636363636
569,281.84376526921204,-0.5682,652.5090909090909
570,281.9394690533711,-0.5908,652.9818181818182
571,282.0351728375302,-0.6238,653.4545454545455
572,282.1308766216892,-0.6645,653.9272727272727
573,282.22658040584827,-0.7255,654.4
574,282.1074906666792,-0.7086,654.8727272727273
575,281.98840092751016,-0.6431,655.3454545454546
576,281.8693111883411,-0.5463,655.8181818181819
577,281.75022144917205,-0.4635,656.290909090909
578,281.631131710003,-0.3484,656.7636363636364
579,281.51204197083393,-0.2078,657.2363636363636
580,281.3929522316649,-0.2112,657.709090909091
581,281.2738624924958,-0.3396,658.1818181818181
582,281.15477275332677,-0.3307,658.6545454545454
583,281.0356830141577,-0.2614,659.1272727272727
584,280.91659327498866,-0.315,659.6
585,280.7975035358196,-0.385,660.0727272727273
586,280.67841379665055,-0.3128,660.5454545454545
587,280.5593240574815,-0.2245,661.0181818181818
588,280.44023431831243,-0.3131,661.4909090909091
589,280.3211445791434,-0.4327,661.9636363636364
590,280.2020548399743,-0.3832,662.4363636363637
591,280.08296510080527,-0.3217,662.9090909090909
592,279.9638753616362,-0.303,663.3818181818182
593,279.84478562246716,-0.2294,663.8545454545455
594,279.7256958832981,-0.1167,664.3272727272728
595,279.72407666470207,-0.0255,664.8
596,279.7224574461061,-0.0959,665.2727272727273
597,279.72083822751006,-0.2168,665.7454545454545
598,279.7192190089141,-0.1542,666.2181818181818
599,279.71759979031805,-0.0041,666.6909090909091
600,279.715980571722,-0.0016,667.1636363636363
601,279.71436135312604,-0.1496,667.6363636363636
602,279.71274213453,-0.2231,668.1090909090909
603,279.71112291593397,-0.1775,668.5818181818182
604,279.709503697338,-0.1118,669.0545454545454
605,279.70788447874196,-0.0215,669.5272727272727
606,279.706265260146,-0.0249,670.0
607,279.70464604154995,-0.1742,669.6666666666666
608,279.7030268229539,-0.3306,669.3333333333334
609,279.70140760435794,-0.4013,669.0
610,279.6997883857619,-0.336,668.6666666666666
611,279.69816916716593,-0.2116,668.3333333333334
612,279.6965499485699,-0.1863,668.0
613,279.7573013926607,-0.203,668.8
614,279.8180528367515,-0.2032,669.6
615,279.8788042808423,-0.2535,670.4
616,279.93955572493314,-0.2212,671.2
617,280.0003071690239,-0.0838,672.0
618,280.06105861311477,-0.1052,672.8
619,280.12181005720555,-0.2615,673.6
620,280.1825615012964,-0.3475,674.4
621,280.2433129453872,-0.3912,675.2
622,280.30406438947796,-0.4629,676.0
623,280.3648158335688,-0.4922,676.8
624,280.4255672776596,-0.4656,677.6
625,280.4863187217504,-0.4427,678.4
626,280.5470701658412,-0.4525,679.2
627,280.60782160993205,-0.4187,680.0
628,280.66857305402283,-0.284,679.8859649122807
629,280.72932449811367,-0.1959,679.7719298245614
630,280.79007594220445,-0.2526,679.6578947368421
631,280.8508273862953,-0.294,679.5438596491229
632,280.9115788303861,-0.3301,679.4298245614035
633,280.8508774588868,-0.3715,679.3157894736842
634,280.7901760873876,-0.2933,679.2017543859649
635,280.72947471588833,-0.2308,679.0877192982456
636,280.6687733443891,-0.2205,678.9736842105264
637,280.60807197288983,-0.1452,678.859649122807
